24, State-gov, 43997, 12th, 1, Widowed, Craft-repair, Own-child, White, Male, 3472, 66, 46, Guatemala, >50K
29, Without-pay, 75686, Masters, 12, Separated, Handlers-cleaners, Own-child, Black, Female, 6035, 46, 33, Guatemala, <=50K
41, Without-pay, 47925, 10th, 7, Separated, Machine-op-inspct, Husband, Asian-Pac-Islander, Female, 3238, 51, 31, Cambodia, >50K
24, Self-emp-not-inc, 34123, Masters, 12, Married-civ-spouse, Handlers-cleaners, Not-in-family, Black, Female, 124, 19, 37, Italy, >50K
65, Without-pay, 63528, 10th, 7, Separated, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female, 8674, 22, 25, Philippines, <=50K
57, Never-worked, 43857, HS-grad, 12, Never-married, Exec-managerial, Wife, Other, Female, 9413, 18, 33, Japan, >50K
23, Self-emp-not-inc, 11460, 5th-6th, 3, Married-spouse-absent, Farming-fishing, Unmarried, White, Male, 4610, 63, 43, Iran, <=50K
59, Never-worked, 78466, Preschool, 16, Divorced, Adm-clerical, Unmarried, White, Female, 4171, 10, 56, India, >50K
48, Never-worked, 90591, 12th, 16, Married-AF-spouse, Transport-moving, Wife, Amer-Indian-Eskimo, Female, 4077, 27, 43, Poland, >50K
54, Never-worked, 73092, 11th, 13, Never-married, Exec-managerial, Own-child, White, Female, 6387, 86, 30, Cambodia, <=50K
54, Without-pay, 10397, Preschool, 3, Separated, Other-service, Wife, Other, Female, 9446, 31, 44, Hungary, >50K
49, Without-pay, 95485, Masters, 11, Married-AF-spouse, Other-service, Wife, Asian-Pac-Islander, Male, 7003, 58, 28, Honduras, <=50K
35, Never-worked, 20018, HS-grad, 4, Married-spouse-absent, Priv-house-serv, Other-relative, Asian-Pac-Islander, Female, 3640, 31, 49, Hungary, >50K
26, Local-gov, 62369, Prof-school, 7, Separated, Protective-serv, Husband, Other, Female, 6924, 95, 58, United-States, <=50K
27, Local-gov, 27159, 11th, 6, Never-married, Sales, Not-in-family, Black, Male, 511, 38, 48, Greece, >50K
23, Self-emp-not-inc, 34828, Assoc-acdm, 12, Married-AF-spouse, Protective-serv, Wife, White, Male, 8722, 65, 40, Taiwan, >50K
40, Never-worked, 77819, 11th, 16, Married-AF-spouse, Protective-serv, Unmarried, White, Female, 6256, 53, 40, Trinadad&Tobago, >50K
59, Private, 33679, 9th, 5, Married-spouse-absent, Machine-op-inspct, Not-in-family, Black, Female, 3300, 36, 40, United-States, >50K
46, Private, 26513, HS-grad, 4, Widowed, Protective-serv, Husband, Asian-Pac-Islander, Male, 5169, 24, 58, Iran, >50K
28, Local-gov, 92451, Preschool, 7, Married-AF-spouse, Machine-op-inspct, Not-in-family, White, Female, 9057, 31, 46, Canada, >50K
62, Private, 14902, 10th, 3, Married-spouse-absent, Adm-clerical, Wife, White, Male, 7866, 65, 22, Jamaica, <=50K
59, Federal-gov, 22434, Some-college, 5, Divorced, Other-service, Husband, White, Male, 9847, 80, 21, Scotland, >50K
30, Federal-gov, 82302, Doctorate, 8, Separated, Armed-Forces, Husband, Asian-Pac-Islander, Female, 7810, 95, 33, Outlying-US(Guam-USVI-etc), >50K
48, State-gov, 39599, Some-college, 1, Widowed, Handlers-cleaners, Wife, White, Male, 7669, 26, 37, Hungary, <=50K
